state (Emission order)	H3K4me1	H3K27ac	H3K4me3	H3K27me3	H3K9me3	H3K36me3
1	0.8235024881263174	0.14872263727985713	0.2535907857313144	0.40055513112002933	0.2602010843503348	0.10567375749675763
2	0.9605402241557964	0.9567695533317023	0.8657700287400797	0.3973751898591612	0.1389409252065668	0.09406127313604135
3	0.8962397514424032	0.8764585623251833	0.40231417616425563	0.0743939604022732	0.1284741802014215	0.4316738735030171
4	0.05552114804487842	0.15398967605421643	0.021623571795320106	0.00877134144669693	0.016820227341697188	0.011066934574250694
5	0.13521866763924742	0.7630948676662678	0.14155113873247913	0.5925967201849474	0.23940646472534538	0.1424711496610505
6	0.011563848294429746	0.023598196676337387	0.004352358825136244	0.5729332203250314	0.05663116608732244	0.06822988930654113
7	5.790480507120194E-5	1.1380042719601419E-4	1.3232764398277662E-4	5.969146593273282E-4	3.4213689832706415E-4	2.044047168262089E-4
8	0.031627923469215426	0.05866910850911305	0.19785903461272158	0.8383412891550712	0.8206629410062976	0.11061097234406517
9	0.003798994214624924	0.006723762209469473	0.010592972222527128	0.019795603733028386	0.024179768571557257	0.01646568307381199
10	0.042422469529562946	0.09130494158809216	0.28643251758440247	0.14893574920682098	0.689889272869103	0.7775078763367662
11	0.0185269463735315	0.02639581911493431	0.019187594366051875	0.019609890040962124	0.0296157622428735	0.2885104135915723
12	0.12480997246229701	0.6618855821236922	0.11951650736061857	0.07957418136141352	0.11055817296750022	0.8390103425735868
13	0.021279262760004497	0.9191042925092444	0.9328339019990806	0.2079889871455402	0.08037139382853536	0.08143700038278126
14	0.023277937455322684	0.06271654715546418	0.9345400155560556	0.5080545216056443	0.08782307505997593	0.08192852367738121
15	0.01344337905066981	0.030092587932846766	0.14956367554353095	0.04069691606721172	0.749721482218611	0.024116892584696514
