season,title,directed_by,written_by,air_date,us_viewers
1,Days Gone Bye,Frank Darabont,Teleplay by: Frank Darabont,2010-10-31,5.35
1,Guts,Michelle MacLaren,Frank Darabont,2010-11-07,4.71
1,Tell It to the Frogs,Gwyneth Horder-Payton,"Story by: Charles H. Eglee & Jack LoGiudice
Teleplay by: Charles H. Eglee & Jack LoGiudice and Frank Darabont",2010-11-14,5.07
1,Vatos,Johan Renck,Robert Kirkman,2010-11-21,4.75
1,Wildfire,Ernest Dickerson,Glen Mazzara,2010-11-28,5.56
1,TS-19,Guy Ferland,Adam Fierro and Frank Darabont,2010-12-05,5.97
2,What Lies Ahead,Ernest Dickerson & Gwyneth Horder-Payton,Ardeth Bey and Robert Kirkman,2011-10-16,7.26
2,Bloodletting,Ernest Dickerson,Glen Mazzara,2011-10-23,6.70
2,Save the Last One,Phil Abraham,Scott M. Gimple,2011-10-30,6.10
2,Cherokee Rose,Billy Gierhart,Evan Reilly,2011-11-06,6.29
2,Chupacabra,Guy Ferland,David Leslie Johnson,2011-11-13,6.12
2,Secrets,David Boyd,Angela Kang,2011-11-20,6.08
2,Pretty Much Dead Already,Michelle MacLaren,Scott M. Gimple,2011-11-27,6.62
2,Nebraska,Clark Johnson,Evan Reilly,2012-02-12,8.10
2,Triggerfinger,Billy Gierhart,David Leslie Johnson,2012-02-19,6.89
2,18 Miles Out,Ernest Dickerson,Scott M. Gimple & Glen Mazzara,2012-02-26,7.04
2,"Judge, Jury, Executioner",Greg Nicotero,Angela Kang,2012-03-04,6.77
2,Better Angels,Guy Ferland,Evan Reilly & Glen Mazzara,2012-03-11,6.89
2,Beside the Dying Fire,Ernest Dickerson,Robert Kirkman & Glen Mazzara,2012-03-18,8.99
3,Seed,Ernest Dickerson,Glen Mazzara,2012-10-14,10.87
3,Sick,Billy Gierhart,Nichole Beattie,2012-10-21,9.55
3,Walk with Me,Guy Ferland,Evan Reilly,2012-10-28,10.51
3,Killer Within,Guy Ferland,Sang Kyu Kim,2012-11-04,9.27
3,Say the Word,Greg Nicotero,Angela Kang,2012-11-11,10.37
3,Hounded,Dan Attias,Scott M. Gimple,2012-11-18,9.21
3,When the Dead Come Knocking,Dan Sackheim,Frank Renzulli,2012-11-25,10.43
3,Made to Suffer,Billy Gierhart,Robert Kirkman,2012-12-02,10.48
3,The Suicide King,Lesli Linka Glatter,Evan Reilly,2013-02-10,12.26
3,Home,Seith Mann,Nichole Beattie,2013-02-17,11.05
3,I Ain't a Judas,Greg Nicotero,Angela Kang,2013-02-24,11.01
3,Clear,Tricia Brock,Scott M. Gimple,2013-03-03,11.30
3,Arrow on the Doorpost,David Boyd,Ryan C. Coleman,2013-03-10,11.46
3,Prey,Stefan Schwartz,Glen Mazzara & Evan Reilly,2013-03-17,10.84
3,This Sorrowful Life,Greg Nicotero,Scott M. Gimple,2013-03-24,10.99
3,Welcome to the Tombs,Ernest Dickerson,Glen Mazzara,2013-03-31,12.42
4,30 Days Without an Accident,Greg Nicotero,Scott M. Gimple,2013-10-13,16.11
4,Infected,Guy Ferland,Angela Kang,2013-10-20,13.95
4,Isolation,Dan Sackheim,Robert Kirkman,2013-10-27,12.92
4,Indifference,Tricia Brock,Matthew Negrete,2013-11-03,13.31
4,Internment,David Boyd,Channing Powell,2013-11-10,12.20
4,Live Bait,Michael Uppendahl,Nichole Beattie,2013-11-17,12.00
4,Dead Weight,Jeremy Podeswa,Curtis Gwinn,2013-11-24,11.29
4,Too Far Gone,Ernest Dickerson,Seth Hoffman,2013-12-01,12.05
4,After,Greg Nicotero,Robert Kirkman,2014-02-09,15.76
4,Inmates,Tricia Brock,Matthew Negrete & Channing Powell,2014-02-16,13.34
4,Claimed,Seith Mann,Nichole Beattie & Seth Hoffman,2014-02-23,13.12
4,Still,Julius Ramsay,Angela Kang,2014-03-02,12.61
4,Alone,Ernest Dickerson,Curtis Gwinn,2014-03-09,12.65
4,The Grove,Michael Satrazemis,Scott M. Gimple,2014-03-16,
4,Us,David S. Goyer,,2014-03-23,
4,A,Michelle MacLaren,,2014-03-30,
